id,category
100,34
101,42
102,87
104,14
105,14
106,41
107,14
108,14
109,16
110,26
111,26
112,26
113,26
114,26
115,36
116,36
117,36
118,34
119,16
120,28
121,69
122,63
123,34
124,40
125,42
126,91
127,40
128,86
129,23
130,71
131,62
132,5
133,63
134,27
135,75
136,21
137,42
138,42
139,75
140,23
141,84
142,4
143,25
144,29
145,72
146,86
147,86
148,55
149,70
150,78
151,6
152,6
153,38
154,70
155,20
156,20
157,20
166,54
167,20
168,20
169,20
170,20
171,16
172,16
173,16
174,16
175,40
176,40
178,40
179,40
180,40
181,5
182,69
183,5
184,69
185,64
186,5
187,69
188,46
189,28
190,57
191,68
192,46
193,46
194,69
195,86
196,54
197,86
198,36
199,84
200,84
201,84
202,84
203,84
204,56
205,56
206,62
207,46
208,34
209,91
210,91
211,91
212,91
213,91
214,63
215,26
216,26
217,34
218,60
219,62
220,62
221,62
222,62
223,22
224,81
225,79
226,62
227,79
228,26
229,11
230,52
232,42
233,86
235,38
236,31
237,71
238,38
239,29
240,83
241,62
242,8
243,70
244,70
245,70
246,63
247,63
248,46
249,4
250,53
251,53
252,7
253,6
254,6
255,4
256,9
257,31
258,88
259,20
260,20
261,20
262,20
263,81
264,62
265,70
266,69
267,69
268,46
269,69
270,13
271,69
272,69
273,14
274,69
275,61
276,61
277,4
278,60
279,93
280,93
281,42
282,42
283,42
284,42
285,42
286,53
287,53
288,42
289,42
290,42
291,42
292,72
293,46
294,14
295,42
311,86
312,86
313,92
314,29
315,86
316,76
317,76
318,86
319,55
320,55
321,20
322,55
323,24
324,24
325,24
326,63
327,63
328,17
329,17
330,17
331,63
333,24
334,8
335,41
336,4
337,65
338,65
339,65
340,55
341,55
342,55
343,62
344,70
345,55
346,24
347,54
348,54
349,54
350,20
351,54
352,54
353,55
354,21
355,20
356,55
357,55
358,55
359,55
360,55
361,63
362,21
363,73
364,73
365,47
366,47
367,47
368,32
369,32
370,32
371,32
372,32
373,32
374,32
375,32
376,32
377,15
378,15
379,32
380,20
381,80
382,20
383,69
384,69
385,69
386,69
387,69
388,69
389,69
390,46
391,69
392,36
393,46
394,15
395,70
396,86
397,23
398,23
399,69
40,7
403,56
404,86
405,42
406,53
407,42
408,42
409,4
41,16
410,58
411,80
412,80
413,18
414,4
415,54
416,69
417,14
418,78
419,9
42,69
420,20
421,9
422,9
423,9
424,14
425,54
426,54
427,54
428,14
429,4
43,50
430,14
431,23
432,65
433,80
434,65
435,65
436,65
437,65
438,65
439,65
44,62
440,46
441,4
442,7
443,78
444,78
445,72
446,4
447,5
448,46
449,54
45,53
450,4
451,36
452,7
453,78
454,36
455,14
456,46
457,46
458,46
459,46
46,53
460,55
461,55
462,55
463,71
464,23
465,45
466,43
467,4
468,16
469,23
470,16
471,4
472,16
473,4
474,4
475,43
476,43
477,14
478,3
479,72
480,23
481,69
482,69
483,86
484,49
485,14
486,14
487,14
488,86
489,86
490,86
491,54
492,46
493,46
494,14
495,36
496,4
497,17
498,17
499,11
500,4
501,4
502,17
503,69
504,7
505,46
506,14
507,54
508,46
509,23
510,52
511,54
512,69
513,86
514,14
515,9
516,41
517,83
518,77
519,8
520,83
521,83
522,25
523,83
524,83
525,7
526,34
527,34
528,62
529,88
530,70
531,66
532,41
533,14
534,86
535,54
536,70
537,62
538,70
539,70
540,55
541,3
542,16
543,16
544,3
545,3
546,16
547,3
548,3
549,16
550,16
551,16
552,16
553,3
554,3
555,16
556,16
557,3
558,3
559,3
560,3
561,16
562,90
563,16
564,16
565,16
566,16
567,16
568,16
569,16
57,20
570,36
577,36
